hex_id,h3_resolution,acceptance_low,acceptance_medium,acceptance_high,data_status,method_version
87080218effffff,7,0.228,0.399,0.605,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802190ffffff,7,0.223,0.421,0.645,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802191ffffff,7,0.027,0.228,0.399,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802192ffffff,7,0.264,0.417,0.634,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802193ffffff,7,0.376,0.575,0.77,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802194ffffff,7,0.116,0.294,0.513,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802195ffffff,7,0.021,0.198,0.39,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802196ffffff,7,0.214,0.415,0.607,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802198ffffff,7,0.33,0.515,0.725,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802199ffffff,7,0.223,0.407,0.608,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080219affffff,7,0.179,0.386,0.602,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080219bffffff,7,0.074,0.269,0.465,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080219cffffff,7,0.085,0.238,0.44,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080219dffffff,7,0.094,0.267,0.445,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080219effffff,7,0.109,0.303,0.53,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a0ffffff,7,0.045,0.25,0.432,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a1ffffff,7,0.112,0.291,0.473,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a2ffffff,7,0.19,0.389,0.571,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a3ffffff,7,0.176,0.34,0.541,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a4ffffff,7,0.156,0.355,0.533,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a5ffffff,7,0.0,0.183,0.359,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a6ffffff,7,0.0,0.168,0.367,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a8ffffff,7,0.142,0.33,0.522,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021a9ffffff,7,0.05,0.231,0.457,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021aaffffff,7,0.053,0.222,0.411,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021abffffff,7,0.058,0.262,0.473,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021acffffff,7,0.153,0.332,0.558,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021adffffff,7,0.124,0.291,0.503,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021aeffffff,7,0.0,0.071,0.299,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b0ffffff,7,0.138,0.291,0.475,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b1ffffff,7,0.076,0.249,0.422,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b2ffffff,7,0.13,0.314,0.49,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b3ffffff,7,0.0,0.141,0.353,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b4ffffff,7,0.048,0.252,0.443,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b5ffffff,7,0.109,0.298,0.511,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708021b6ffffff,7,0.188,0.389,0.57,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802200ffffff,7,0.026,0.224,0.43,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802201ffffff,7,0.242,0.428,0.643,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802202ffffff,7,0.077,0.25,0.46,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802203ffffff,7,0.524,0.677,0.89,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802204ffffff,7,0.144,0.338,0.554,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802205ffffff,7,0.183,0.377,0.602,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802206ffffff,7,0.273,0.425,0.611,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802208ffffff,7,0.31,0.485,0.688,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802209ffffff,7,0.155,0.353,0.552,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080220affffff,7,0.288,0.461,0.69,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080220bffffff,7,0.296,0.478,0.696,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080220cffffff,7,0.247,0.445,0.647,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080220dffffff,7,0.101,0.298,0.509,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080220effffff,7,0.199,0.351,0.564,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802210ffffff,7,0.163,0.332,0.504,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802211ffffff,7,0.167,0.356,0.565,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802212ffffff,7,0.18,0.338,0.528,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802213ffffff,7,0.263,0.438,0.632,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802214ffffff,7,0.165,0.352,0.58,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802215ffffff,7,0.036,0.228,0.42,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802216ffffff,7,0.165,0.347,0.527,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802218ffffff,7,0.124,0.325,0.51,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802219ffffff,7,0.175,0.328,0.515,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080221affffff,7,0.296,0.5,0.696,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080221bffffff,7,0.119,0.312,0.522,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080221cffffff,7,0.097,0.301,0.517,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080221dffffff,7,0.08,0.286,0.496,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080221effffff,7,0.399,0.607,0.812,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802220ffffff,7,0.253,0.408,0.619,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802221ffffff,7,0.289,0.451,0.647,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802222ffffff,7,0.305,0.497,0.673,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802223ffffff,7,0.525,0.694,0.9,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802224ffffff,7,0.141,0.332,0.532,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802225ffffff,7,0.305,0.465,0.645,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802226ffffff,7,0.456,0.656,0.879,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802228ffffff,7,0.251,0.426,0.644,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802229ffffff,7,0.287,0.446,0.654,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080222affffff,7,0.117,0.298,0.491,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080222bffffff,7,0.097,0.282,0.506,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080222cffffff,7,0.21,0.391,0.612,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080222dffffff,7,0.343,0.529,0.721,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080222effffff,7,0.52,0.698,0.887,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802230ffffff,7,0.213,0.399,0.597,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802231ffffff,7,0.326,0.526,0.726,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802232ffffff,7,0.185,0.363,0.562,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802233ffffff,7,0.216,0.382,0.554,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802234ffffff,7,0.291,0.465,0.685,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802235ffffff,7,0.304,0.472,0.699,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802236ffffff,7,0.16,0.337,0.536,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802240ffffff,7,0.313,0.498,0.674,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802241ffffff,7,0.121,0.326,0.545,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802242ffffff,7,0.299,0.482,0.69,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802243ffffff,7,0.211,0.401,0.58,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802244ffffff,7,0.258,0.464,0.659,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802245ffffff,7,0.329,0.514,0.714,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802246ffffff,7,0.22,0.372,0.588,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802248ffffff,7,0.258,0.422,0.648,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802249ffffff,7,0.271,0.456,0.679,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080224affffff,7,0.338,0.546,0.717,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080224bffffff,7,0.238,0.432,0.637,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080224cffffff,7,0.234,0.425,0.627,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080224dffffff,7,0.375,0.53,0.742,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080224effffff,7,0.336,0.536,0.763,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802250ffffff,7,0.211,0.392,0.572,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802251ffffff,7,0.272,0.439,0.617,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802252ffffff,7,0.095,0.284,0.458,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802253ffffff,7,0.247,0.435,0.658,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802254ffffff,7,0.159,0.345,0.564,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802255ffffff,7,0.093,0.267,0.464,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802256ffffff,7,0.095,0.289,0.504,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802258ffffff,7,0.292,0.466,0.641,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802259ffffff,7,0.255,0.437,0.626,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080225affffff,7,0.203,0.355,0.535,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080225bffffff,7,0.117,0.293,0.475,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080225cffffff,7,0.297,0.485,0.705,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080225dffffff,7,0.362,0.537,0.75,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080225effffff,7,0.131,0.301,0.493,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802260ffffff,7,0.302,0.473,0.673,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802261ffffff,7,0.161,0.326,0.546,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802262ffffff,7,0.176,0.361,0.569,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802263ffffff,7,0.246,0.423,0.633,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802264ffffff,7,0.421,0.626,0.835,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802265ffffff,7,0.349,0.517,0.702,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802266ffffff,7,0.29,0.491,0.681,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802268ffffff,7,0.277,0.47,0.66,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802269ffffff,7,0.352,0.519,0.72,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080226affffff,7,0.261,0.468,0.639,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080226bffffff,7,0.204,0.412,0.618,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080226cffffff,7,0.304,0.492,0.692,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080226dffffff,7,0.438,0.607,0.784,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080226effffff,7,0.159,0.35,0.561,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802270ffffff,7,0.291,0.5,0.702,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802271ffffff,7,0.159,0.368,0.594,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802272ffffff,7,0.28,0.481,0.695,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802273ffffff,7,0.336,0.536,0.738,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802274ffffff,7,0.222,0.416,0.644,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802275ffffff,7,0.149,0.351,0.531,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802276ffffff,7,0.123,0.318,0.491,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802280ffffff,7,0.362,0.54,0.763,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802281ffffff,7,0.174,0.377,0.553,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802282ffffff,7,0.158,0.364,0.543,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802283ffffff,7,0.287,0.496,0.71,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802284ffffff,7,0.247,0.45,0.644,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802285ffffff,7,0.37,0.551,0.757,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802286ffffff,7,0.418,0.619,0.838,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802288ffffff,7,0.321,0.475,0.654,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802289ffffff,7,0.096,0.303,0.474,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080228affffff,7,0.366,0.53,0.734,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080228bffffff,7,0.162,0.35,0.55,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080228cffffff,7,0.104,0.307,0.49,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080228dffffff,7,0.303,0.485,0.704,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080228effffff,7,0.0,0.112,0.31,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802290ffffff,7,0.289,0.447,0.633,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802291ffffff,7,0.182,0.362,0.573,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802292ffffff,7,0.093,0.296,0.492,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802293ffffff,7,0.366,0.531,0.754,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802294ffffff,7,0.162,0.321,0.544,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802295ffffff,7,0.122,0.303,0.53,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802296ffffff,7,0.144,0.322,0.528,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802298ffffff,7,0.113,0.318,0.493,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802299ffffff,7,0.266,0.437,0.663,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080229affffff,7,0.143,0.305,0.48,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080229bffffff,7,0.148,0.348,0.521,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080229cffffff,7,0.357,0.516,0.735,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080229dffffff,7,0.283,0.468,0.667,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080229effffff,7,0.135,0.311,0.522,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a0ffffff,7,0.252,0.412,0.623,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a1ffffff,7,0.193,0.382,0.56,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a2ffffff,7,0.411,0.608,0.78,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a3ffffff,7,0.322,0.5,0.729,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a4ffffff,7,0.126,0.292,0.493,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a5ffffff,7,0.054,0.256,0.474,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a6ffffff,7,0.145,0.337,0.558,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a8ffffff,7,0.458,0.657,0.849,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022a9ffffff,7,0.252,0.418,0.641,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022aaffffff,7,0.195,0.397,0.599,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022abffffff,7,0.076,0.284,0.474,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022acffffff,7,0.227,0.386,0.591,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022adffffff,7,0.246,0.452,0.666,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022aeffffff,7,0.092,0.276,0.483,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b0ffffff,7,0.142,0.347,0.541,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b1ffffff,7,0.228,0.402,0.625,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b2ffffff,7,0.365,0.522,0.748,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b3ffffff,7,0.152,0.326,0.553,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b4ffffff,7,0.163,0.353,0.575,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b5ffffff,7,0.293,0.455,0.675,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022b6ffffff,7,0.243,0.407,0.61,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c0ffffff,7,0.0,0.145,0.36,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c1ffffff,7,0.144,0.342,0.531,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c2ffffff,7,0.208,0.361,0.546,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c3ffffff,7,0.251,0.403,0.622,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c4ffffff,7,0.194,0.393,0.567,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c5ffffff,7,0.063,0.26,0.457,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c6ffffff,7,0.306,0.49,0.674,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c8ffffff,7,0.146,0.355,0.541,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022c9ffffff,7,0.229,0.392,0.613,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022caffffff,7,0.147,0.313,0.503,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022cbffffff,7,0.138,0.344,0.572,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022ccffffff,7,0.172,0.348,0.57,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022cdffffff,7,0.33,0.511,0.7,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022ceffffff,7,0.279,0.47,0.677,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d0ffffff,7,0.124,0.314,0.506,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d1ffffff,7,0.149,0.325,0.496,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d2ffffff,7,0.233,0.431,0.65,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d3ffffff,7,0.001,0.178,0.361,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d4ffffff,7,0.253,0.43,0.61,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d5ffffff,7,0.081,0.281,0.495,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d6ffffff,7,0.123,0.283,0.498,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d8ffffff,7,0.034,0.209,0.416,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022d9ffffff,7,0.342,0.55,0.771,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022daffffff,7,0.237,0.403,0.609,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022dbffffff,7,0.233,0.408,0.625,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022dcffffff,7,0.186,0.373,0.556,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022ddffffff,7,0.251,0.424,0.617,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022deffffff,7,0.231,0.4,0.584,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e0ffffff,7,0.082,0.26,0.43,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e1ffffff,7,0.241,0.44,0.66,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e2ffffff,7,0.326,0.516,0.697,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e3ffffff,7,0.174,0.372,0.581,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e4ffffff,7,0.194,0.376,0.589,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e5ffffff,7,0.162,0.319,0.529,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e6ffffff,7,0.317,0.487,0.708,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e8ffffff,7,0.09,0.281,0.498,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022e9ffffff,7,0.187,0.346,0.541,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022eaffffff,7,0.285,0.463,0.674,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022ebffffff,7,0.234,0.438,0.61,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022ecffffff,7,0.0,0.13,0.35,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022edffffff,7,0.196,0.365,0.553,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022eeffffff,7,0.036,0.201,0.412,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f0ffffff,7,0.211,0.367,0.547,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f1ffffff,7,0.415,0.603,0.807,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f2ffffff,7,0.231,0.437,0.642,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f3ffffff,7,0.233,0.387,0.572,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f4ffffff,7,0.196,0.391,0.578,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f5ffffff,7,0.165,0.37,0.555,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708022f6ffffff,7,0.257,0.464,0.648,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802300ffffff,7,0.29,0.486,0.702,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802301ffffff,7,0.25,0.451,0.65,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802302ffffff,7,0.245,0.402,0.603,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802303ffffff,7,0.321,0.516,0.693,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802304ffffff,7,0.333,0.497,0.715,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802305ffffff,7,0.231,0.412,0.593,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802306ffffff,7,0.348,0.532,0.707,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802308ffffff,7,0.193,0.352,0.577,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802309ffffff,7,0.098,0.295,0.465,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080230affffff,7,0.242,0.418,0.594,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080230bffffff,7,0.395,0.555,0.753,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080230cffffff,7,0.296,0.5,0.676,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080230dffffff,7,0.29,0.454,0.676,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080230effffff,7,0.304,0.507,0.679,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802310ffffff,7,0.244,0.409,0.581,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802311ffffff,7,0.195,0.382,0.571,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802312ffffff,7,0.384,0.544,0.737,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802313ffffff,7,0.159,0.356,0.545,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870802314ffffff,7,0.367,0.567,0.755,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
